epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.408,1.38672,2.78886,1.4895,0.39591,0.23311,0.23794,0.10797,1.82818,2.40807,1.81938,0.00023654,0.00023654,0.00023654
2,497.681,1.30053,1.83791,1.43957,0.37356,0.13953,0.11634,0.05875,1.83277,2.0983,1.82438,0.000317942,0.000317942,0.000317942
3,816.26,1.21784,1.64105,1.39312,0.50884,0.15114,0.14734,0.06728,1.75125,1.91404,1.76178,0.000242264,0.000242264,0.000242264
