epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.465,1.38617,2.78133,1.48814,0.45022,0.23506,0.24633,0.10545,1.86548,2.46243,1.85835,0.00023654,0.00023654,0.00023654
2,484.176,1.31311,1.8485,1.45379,0.42851,0.15308,0.15849,0.06913,1.88666,2.18337,1.9242,0.000469842,0.000469842,0.000469842
3,805.74,1.26282,1.71354,1.42578,0.50252,0.12978,0.12992,0.05543,1.86928,2.20044,1.86881,0.000698432,0.000698432,0.000698432
4,1162.97,1.25135,1.60501,1.40111,0.37719,0.09597,0.09153,0.04459,1.8598,2.05436,1.86845,0.000692794,0.000692794,0.000692794
