epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5586,1.57924,3.45417,1.50041,0.50217,0.16667,0.15479,0.07691,1.85435,2.75338,1.58319,0.000235098,0.000235098,0.000235098
2,189.605,1.42028,2.05748,1.41132,0.5009,0.15524,0.19136,0.09748,1.82207,2.02755,1.63539,0.00046373,0.00046373,0.00046373
3,315.409,1.33883,1.69535,1.37337,0.38274,0.14181,0.20668,0.1046,1.80428,1.94173,1.6278,0.000682938,0.000682938,0.000682938
4,452.915,1.30332,1.5651,1.34086,0.30813,0.1259,0.18635,0.08862,1.87481,1.86522,1.66563,0.000671588,0.000671588,0.000671588
5,606.865,1.26013,1.48018,1.32016,0.52621,0.1336,0.20749,0.09428,1.92642,1.68968,1.71131,0.000657451,0.000657451,0.000657451
6,756.837,1.24234,1.4383,1.30282,0.42089,0.14507,0.20606,0.10281,1.81844,1.64608,1.63472,0.000643314,0.000643314,0.000643314
7,929.586,1.20871,1.39344,1.28979,0.39758,0.07351,0.135,0.06418,1.81579,1.5827,1.59085,0.000629177,0.000629177,0.000629177
8,1113.67,1.19636,1.34983,1.27017,0.34574,0.06164,0.13832,0.0684,1.79532,1.50734,1.58742,0.00061504,0.00061504,0.00061504
9,1296.44,1.17777,1.32702,1.26692,0.36455,0.07964,0.1647,0.08393,1.74197,1.53099,1.56978,0.000600902,0.000600902,0.000600902
10,1483.42,1.15003,1.28672,1.24826,0.25367,0.06124,0.12512,0.06433,1.80586,1.54837,1.59652,0.000586765,0.000586765,0.000586765
11,1681.44,1.15745,1.25582,1.24295,0.53375,0.07377,0.16041,0.0852,1.70705,1.42237,1.52446,0.000572628,0.000572628,0.000572628
12,1885.08,1.13756,1.23989,1.23894,0.34049,0.07517,0.15416,0.07398,1.74522,1.38015,1.52748,0.000558491,0.000558491,0.000558491
13,2089.95,1.12669,1.22492,1.2294,0.3971,0.07999,0.17529,0.09138,1.72603,1.39859,1.51631,0.000544354,0.000544354,0.000544354
14,2281.46,1.11591,1.19185,1.22091,0.45252,0.10488,0.17928,0.09237,1.76128,1.31554,1.5508,0.000530216,0.000530216,0.000530216
15,2480.19,1.10382,1.17265,1.21389,0.37723,0.06918,0.14136,0.06805,1.81591,1.32458,1.58461,0.000516079,0.000516079,0.000516079
