epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14444.7,1.0228,1.009,1.16785,0.76507,0.27447,0.35596,0.1957,1.54907,0.97546,1.4144,0.000424187,0.000424187,0.000424187
43,14703.9,1.03174,0.9999,1.16585,0.70571,0.2433,0.31956,0.17011,1.64391,1.01576,1.47791,0.000417119,0.000417119,0.000417119
44,14990.6,1.00775,0.97997,1.15915,0.75766,0.24309,0.32392,0.18081,1.55019,0.98106,1.40587,0.00041005,0.00041005,0.00041005
45,15281,1.01663,0.98725,1.16471,0.76216,0.36128,0.44056,0.22663,1.69789,0.97479,1.52553,0.000402982,0.000402982,0.000402982
46,15559.5,1.0081,0.99649,1.16503,0.75171,0.27587,0.35594,0.1876,1.61327,0.97666,1.48539,0.000395913,0.000395913,0.000395913
47,15816,1.01084,0.97901,1.16708,0.74767,0.32249,0.39949,0.21428,1.64129,0.96895,1.48031,0.000388844,0.000388844,0.000388844
48,16059.4,0.99994,0.96943,1.15273,0.814,0.28296,0.37282,0.20874,1.56894,1.02943,1.43874,0.000381776,0.000381776,0.000381776
49,16311.7,0.99389,0.96642,1.15244,0.75004,0.45749,0.5191,0.2793,1.60157,0.9667,1.43092,0.000374707,0.000374707,0.000374707
50,16513.3,0.98607,0.95162,1.14702,0.80562,0.42047,0.49118,0.27399,1.52924,0.96993,1.41081,0.000367639,0.000367639,0.000367639
51,16727.3,0.98637,0.94609,1.14578,0.77628,0.34579,0.42113,0.23404,1.57804,0.95983,1.45277,0.00036057,0.00036057,0.00036057
52,16926.6,1.00237,0.95434,1.14885,0.75978,0.3696,0.43853,0.23832,1.55745,0.94373,1.42144,0.000353501,0.000353501,0.000353501
53,17138.6,0.99113,0.95017,1.14709,0.84297,0.49265,0.56329,0.3188,1.47733,0.91244,1.35545,0.000346433,0.000346433,0.000346433
54,17356.7,0.99408,0.94681,1.15036,0.84444,0.49131,0.57199,0.32113,1.55558,0.90573,1.40781,0.000339364,0.000339364,0.000339364
55,17539.5,0.98199,0.93686,1.14618,0.84476,0.50533,0.56905,0.31106,1.5323,0.90807,1.39837,0.000332296,0.000332296,0.000332296
56,17719.1,0.97787,0.9215,1.1404,0.81003,0.44344,0.52539,0.28477,1.57323,0.92929,1.43029,0.000325227,0.000325227,0.000325227
57,17927.5,0.97929,0.93026,1.14334,0.82584,0.59351,0.65307,0.35993,1.57031,0.93356,1.42518,0.000318158,0.000318158,0.000318158
58,18121.2,0.97108,0.91973,1.13739,0.81195,0.52995,0.59284,0.34548,1.45633,0.92416,1.34092,0.00031109,0.00031109,0.00031109
59,18294.5,0.97393,0.92075,1.13559,0.79886,0.60075,0.67067,0.38136,1.53383,0.92486,1.40395,0.000304021,0.000304021,0.000304021
60,18495.6,0.96881,0.9207,1.13643,0.85382,0.5291,0.61031,0.35085,1.49029,0.91169,1.38287,0.000296953,0.000296953,0.000296953
61,18639.8,0.96351,0.91237,1.13539,0.85366,0.5089,0.59063,0.32337,1.54566,0.91916,1.40783,0.000289884,0.000289884,0.000289884
62,18818,0.96203,0.90058,1.12578,0.84082,0.52386,0.5865,0.31937,1.56265,0.92395,1.4244,0.000282815,0.000282815,0.000282815
63,19007.6,0.96265,0.90345,1.13154,0.73379,0.46393,0.52562,0.2987,1.52704,0.92735,1.39289,0.000275747,0.000275747,0.000275747
64,19192.7,0.95647,0.89539,1.1307,0.82975,0.60996,0.67089,0.39054,1.45165,0.90703,1.33652,0.000268678,0.000268678,0.000268678
65,19381.8,0.95483,0.89796,1.12717,0.80971,0.53908,0.60848,0.34074,1.53157,0.93322,1.38749,0.00026161,0.00026161,0.00026161
66,19570,0.94831,0.88979,1.12777,0.812,0.60166,0.65745,0.36052,1.54631,0.89936,1.41105,0.000254541,0.000254541,0.000254541
67,19707,0.94827,0.87389,1.12117,0.8317,0.51975,0.59118,0.33563,1.51865,0.90988,1.37918,0.000247472,0.000247472,0.000247472
68,19885.9,0.94308,0.88359,1.12049,0.91533,0.54781,0.64267,0.36548,1.50343,0.89096,1.38639,0.000240404,0.000240404,0.000240404
69,20052.3,0.93923,0.86589,1.11948,0.81002,0.5724,0.64561,0.34848,1.56348,0.92054,1.42122,0.000233335,0.000233335,0.000233335
70,20214.4,0.93877,0.87226,1.11673,0.8687,0.54929,0.63012,0.35999,1.48314,0.86225,1.35053,0.000226267,0.000226267,0.000226267
71,20355.2,0.94409,0.86831,1.11859,0.83433,0.61012,0.67027,0.38272,1.46015,0.84611,1.34726,0.000219198,0.000219198,0.000219198
72,20515.5,0.93748,0.8669,1.1184,0.87528,0.57829,0.6513,0.37919,1.44259,0.8557,1.34343,0.000212129,0.000212129,0.000212129
73,20679.2,0.93818,0.86656,1.11959,0.85724,0.61323,0.68079,0.38187,1.49966,0.86355,1.36855,0.000205061,0.000205061,0.000205061
