epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.268,1.40737,2.70871,1.50727,0.28924,0.17354,0.14221,0.06292,1.87425,2.58399,1.83254,0.00023727,0.00023727,0.00023727
2,867.432,1.30126,1.86284,1.45558,0.38108,0.14926,0.14286,0.06268,1.86838,2.15585,1.90998,0.000470565,0.000470565,0.000470565
3,1469.49,1.26483,1.73632,1.43401,0.44839,0.14392,0.15163,0.06385,1.86842,2.05879,1.90113,0.000699147,0.000699147,0.000699147
4,2069.44,1.24486,1.64824,1.40721,0.54672,0.14683,0.16728,0.07785,1.82631,1.90748,1.87064,0.000692794,0.000692794,0.000692794
